method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed
CAT (tuned),1370.1,54.4,44.6,18.5,0.6759259,0.10579337769609203,0.04083340462850256,0.028418216819446646,0.0844472090072627,0.0,0.0,3.0,48.0,19506.186602929058,0.4801775754666796,4009.454268521621,0.12298834764615349,0.6432398668822711,0.6432398668822711,0.0,18.0,0.06158559397807184,0.06629025238388776,0.2099026670604658,7158.277770042419,0.14083647727966309,1665.5315644683697,0.06528969211261772,0.6990755498884366,0.6990755498884366,0.0
XGB (tuned + ensemble),1369.4,44.7,46.7,18.53921568627451,0.6751998,0.11332129135564178,0.04236298562192836,0.02971480352137626,0.09185789291434211,1.0,0.0,1.0,49.0,5938.998393348619,7.841493718764362,1213.0777679819278,3.1002279660820715,0.6671580718276008,0.6671580718276008,0.0,17.0,0.07322528939012962,0.07200854371327652,0.20932552259654813,2063.2708826065063,2.946662425994873,700.9607998746845,1.4386570273653,0.7011497853854265,0.7011497853854265,0.0
GBM (tuned),1354.4,51.8,45.8,19.41176470588235,0.65904146,0.11672417787573257,0.04458113979130458,0.031559544211781795,0.07484521998312751,0.0,1.0,0.0,50.0,3051.8140357896395,3.3178744736839745,765.6312795719994,0.6787985114862476,0.6919249839042294,0.6919249839042294,0.0,18.0,0.061443541154892256,0.07756546954110759,0.20978825401159662,1670.2684843540192,0.7316880226135254,416.5640684155986,0.3811195826851199,0.7715169750901905,0.7715169750901905,0.0
MNCA_GPU (tuned),1350.7,62.0,54.2,19.627450980392158,0.65504724,0.11139121881764598,0.030706651641402308,0.029511411982225635,0.1023780574589575,1.0,0.0,2.0,48.0,50606.46933756155,14.969161491768032,6200.95174646742,1.6696617082037302,0.6535314888606243,0.6535314888606243,0.0,18.0,0.06144927536231881,0.0740110710670556,0.20446769096654682,14787.927460432053,0.6251811981201172,4618.502341732761,0.46952933073043823,0.753674016681064,0.753674016681064,0.0
CAT (default),1348.0,44.9,41.4,19.784313725490197,0.65214235,0.11328667784296906,0.041037249953183474,0.03210290060211403,0.07929963515406012,0.0,2.0,0.0,49.0,186.54889291408014,0.4368261870215921,85.73305725415607,0.1697456044717195,0.6913312839937195,0.6913312839937195,0.0,19.0,0.06252446837171821,0.0662829744588498,0.20726495726495708,25.447056531906128,0.4332277774810791,6.700347814449044,0.08827101352602937,0.7359737016784136,0.7359737016784136,0.0
XGB (tuned),1346.4,44.9,43.8,19.88235294117647,0.65032685,0.11528722260695715,0.04355255448814266,0.030276913438470568,0.09162243925067547,1.0,1.0,1.0,48.0,5938.998393348619,1.6265712625840132,1213.0777679819278,0.6984321316309747,0.695992088834831,0.695992088834831,0.0,20.0,0.07463249899366431,0.07445490016066098,0.20927136360385667,2063.2708826065063,0.5078930854797363,700.9607998746845,0.21305428930075773,0.769729993383628,0.769729993383628,0.0
TABM_GPU (tuned),1345.6,67.0,55.9,19.931372549019606,0.64941907,0.10504507652144689,0.03225358193411566,0.021262282354170645,0.08572574581369988,0.0,0.0,3.0,48.0,36745.76943855192,0.9327322455013499,5149.522818881001,0.3522030333025916,0.6470635678716187,0.6470635678716187,0.0,18.0,0.04950878682353699,0.07817347241941734,0.20774495653813396,8818.62617468834,0.25295114517211914,3133.9115732644937,0.13006170213303378,0.6708069203103312,0.6708069203103312,0.0
XRFM_GPU (tuned + ensemble),1342.1,63.5,46.1,20.137254901960784,0.64560646,0.11396570084935802,0.04394169962966955,0.029390799439170945,0.0901432080851621,0.0,2.0,1.0,48.0,14022.497099048951,27.070390402102003,1406.2661583496456,4.734168183179944,0.6630010158270878,0.6630010158270878,0.0,18.0,0.07864905775903086,0.07974387199801608,0.20968345101227884,2211.918614625931,4.1532275676727295,866.1112902179376,2.0069414377212524,0.6344238975817965,0.6344238975817965,0.0
TABPFNV2_GPU (tuned + ensemble),1328.9,77.6,75.2,20.92156862745098,0.6310821,0.11136491983338187,0.03549500681252238,0.02802316763265801,0.1963535922890809,4.0,5.0,2.0,40.0,9280.937638614692,101.0832102392234,2836.0220285499013,48.21038294992157,0.606809521489769,0.606809521489769,0.35294117647058826,20.0,0.08973027820339718,0.07413778479721252,0.21666389261196228,1926.0209152698517,7.814479351043701,2942.0790635597914,17.37173979844504,0.6984359296981446,0.6984359296981446,0.0
MITRA_GPU (default),1309.4,63.9,69.7,22.098039215686274,0.6092956,0.12113117296352956,0.033221088202570984,0.025654074834613516,0.12949590417355902,2.0,2.0,2.0,45.0,417.8125674724579,6.376229664858649,123.05960635132931,3.185866311493909,0.6658909241018968,0.6658909241018968,0.35294117647058826,21.0,0.08973027820339718,0.08198301583658454,0.2272898224746004,77.5374767780304,0.9704930782318115,87.34056732368137,2.4329112803963535,0.7369946238881216,0.7369946238881216,0.0
XRFM_GPU (tuned),1292.4,58.5,48.6,23.137254901960784,0.5900508,0.12720217479156892,0.0469010907041677,0.0354664964495206,0.082814464161497,1.0,0.0,0.0,50.0,14022.497099048951,2.329889568628049,1406.2661583496456,0.26503837263898766,0.7384079704270274,0.7384079704270274,0.0,24.0,0.08376071033474031,0.08491156242746156,0.21295479316671043,2211.918614625931,0.10966825485229492,866.1112902179376,0.09710170089677193,0.8546332445131611,0.8546332445131611,0.0
